PLAYER,POSITION,SCHOOL
Myles Garrett,DE,Texas A&M
Mitchell Trubisky,QB,North Carolina
Solomon Thomas,DE,Stanford
Leonard Fournette,RB,LSU
Corey Davis,WR,Western Michigan
Jamal Adams,SAF,LSU
Mike Williams,WR,Clemson
Christian McCaffrey,RB,Stanford
John Ross,WR,Washington
Patrick Mahomes,QB,Texas Tech
Marshon Lattimore,CB,Ohio State
Deshaun Watson,QB,Clemson
Haason Reddick,LB,Temple
Derek Barnett,DE,Tennessee
Malik Hooker,SAF,Ohio State
Marlon Humphrey,CB,Alabama
Jonathan Allen,DE,Alabama
Adoree' Jackson,CB,USC
O.J. Howard,TE,Alabama
Garett Bolles,T,Utah
Jarrad Davis,LB,Florida
Charles Harris,DE,Missouri
Evan Engram,TE,Mississippi
Gareon Conley,CB,Ohio State
Jabrill Peppers,SAF,Michigan
Takkarist McKinley,DE,UCLA
Tre'Davious White,CB,LSU
Taco Charlton,DE,Michigan
David Njoku,TE,Miami (Fla.)
T.J. Watt,LB,Wisconsin
Reuben Foster,LB,Alabama
Ryan Ramczyk,T,Wisconsin
Jared Goff,QB,California
Carson Wentz,QB,North Dakota State
Joey Bosa,DE,Ohio State
Ezekiel Elliott,RB,Ohio State
Jalen Ramsey,CB,Florida State
Ronnie Stanley,T,Notre Dame
DeForest Buckner,DE,Oregon
Jack Conklin,T,Michigan State
Leonard Floyd,LB,Georgia
Eli Apple,CB,Ohio State
Vernon Hargreaves,CB,Florida
Sheldon Rankins,DT,Louisville
Laremy Tunsil,T,Mississippi
Karl Joseph,SAF,West Virginia
Corey Coleman,WR,Baylor
Taylor Decker,T,Ohio State
Keanu Neal,SAF,Florida
Ryan Kelly,C,Alabama
Shaq Lawson,DE,Clemson
Darron Lee,LB,Ohio State
Will Fuller,WR,Notre Dame
Josh Doctson,WR,Texas Christian
Laquon Treadwell,WR,Mississippi
William Jackson,CB,Houston
Artie Burns,CB,Miami (Fla.)
Paxton Lynch,QB,Memphis
Kenny Clark,NT,UCLA
Joshua Garnett,G,Stanford
Robert Nkemdiche,DT,Mississippi
Vernon Butler,DT,Louisiana Tech
Germain Ifedi,G,Texas A&M
Jameis Winston,QB,Florida State
Marcus Mariota,QB,Oregon
Dante Fowler,LB,Florida
Amari Cooper,WR,Alabama
Brandon Scherff,T,Iowa
Leonard Williams,DT,USC
Kevin White,WR,West Virginia
Vic Beasley,LB,Clemson
Ereck Flowers,T,Miami (Fla.)
Todd Gurley,RB,Georgia
Trae Waynes,CB,Michigan State
Danny Shelton,DT,Washington
Andrus Peat,T,Stanford
DeVante Parker,WR,Louisville
Melvin Gordon,RB,Wisconsin
Kevin Johnson,CB,Wake Forest
Arik Armstead,DE,Oregon
Marcus Peters,CB,Washington
Cameron Erving,T,Florida State
Nelson Agholor,WR,USC
Cedric Ogbuehi,T,Texas A&M
Bud Dupree,LB,Kentucky
Shane Ray,DE,Missouri
D.J. Humphries,T,Florida
Shaq Thompson,LB,Washington
Breshad Perriman,WR,Central Florida
Byron Jones,CB,Connecticut
Laken Tomlinson,G,Duke
Phillip Dorsett,WR,Miami (Fla.)
Damarious Randall,DB,Arizona State
Stephone Anthony,LB,Clemson
Malcom Brown,DT,Texas
Jameis Winston,QB,Florida State
Marcus Mariota,QB,Oregon
Dante Fowler,LB,Florida
Amari Cooper,WR,Alabama
Brandon Scherff,T,Iowa
Leonard Williams,DT,USC
Kevin White,WR,West Virginia
Vic Beasley,LB,Clemson
Ereck Flowers,T,Miami (Fla.)
Todd Gurley,RB,Georgia
Trae Waynes,CB,Michigan State
Danny Shelton,DT,Washington
Andrus Peat,T,Stanford
DeVante Parker,WR,Louisville
Melvin Gordon,RB,Wisconsin
Kevin Johnson,CB,Wake Forest
Arik Armstead,DE,Oregon
Marcus Peters,CB,Washington
Cameron Erving,T,Florida State
Nelson Agholor,WR,USC
Cedric Ogbuehi,T,Texas A&M
Bud Dupree,LB,Kentucky
Shane Ray,DE,Missouri
D.J. Humphries,T,Florida
Shaq Thompson,LB,Washington
Breshad Perriman,WR,Central Florida
Byron Jones,CB,Connecticut
Laken Tomlinson,G,Duke
Phillip Dorsett,WR,Miami (Fla.)
Damarious Randall,DB,Arizona State
Stephone Anthony,LB,Clemson
Malcom Brown,DT,Texas
Eric Fisher,OT,Central Michigan
Luke Joeckel,OT,Texas A&M
Dion Jordan,DE,Oregon
Lane Johnson,OT,Oklahoma
Ezekiel Ansah,DE,Brigham Young
Barkevious Mingo,OLB,LSU
Jonathan Cooper,OG,North Carolina
Tavon Austin,WR,West Virginia
Dee Milliner,CB,Alabama
Chance Warmack,OG,Alabama
D.J. Fluker,OT,Alabama
D.J. Hayden,CB,Houston
Sheldon Richardson,DE,Missouri
Star Lotulelei,DT,Utah
Kenny Vaccaro,SS,Texas
EJ Manuel,QB,Florida State
Jarvis Jones,OLB,Georgia
Eric Reid,FS,LSU
Justin Pugh,OT,Syracuse
Kyle Long,OG,Oregon
Tyler Eifert,TE,Notre Dame
Desmond Trufant,CB,Washington
Sharrif Floyd,DT,Florida
Bjoern Werner,OLB,Florida State
Xavier Rhodes,CB,Florida State
Datone Jones,DE,UCLA
DeAndre Hopkins,WR,Clemson
Sylvester Williams,DT,North Carolina
Cordarrelle Patterson,WR,Tennessee
Alec Ogletree,OLB,Georgia
Travis Frederick,C,Wisconsin
Matt Elam,FS,Florida
Andrew Luck,QB,Stanford
Robert Griffin,QB,Baylor
Trent Richardson,RB,Alabama
Matt Kalil,T,USC
Justin Blackmon,WR,Oklahoma State
Morris Claiborne,CB,LSU
Mark Barron,DB,Alabama
Ryan Tannehill,QB,Texas A&M
Luke Kuechly,LB,Boston College
Stephon Gilmore,CB,South Carolina
Dontari Poe,NT,Memphis
Fletcher Cox,DT,Mississippi State
Michael Floyd,WR,Notre Dame
Michael Brockers,DT,LSU
Bruce Irvin,DE,West Virginia
Quinton Coples,DE,North Carolina
Dre Kirkpatrick,CB,Alabama
Melvin Ingram,LB,South Carolina
Shea McClellin,DE,Boise State
Kendall Wright,WR,Baylor
Chandler Jones,DE,Syracuse
Brandon Weeden,QB,Oklahoma State
Riley Reiff,T,Iowa
David DeCastro,G,Stanford
Dont'a Hightower,LB,Alabama
Whitney Mercilus,LB,Illinois
Kevin Zeitler,G,Wisconsin
Nick Perry,LB,USC
Harrison Smith,DB,Notre Dame
A.J. Jenkins,WR,Illinois
Doug Martin,RB,Boise State
David Wilson,RB,Virginia Tech
Cam Newton,QB,Auburn
Von Miller,LB,Texas A&M
Marcell Dareus,DT,Alabama
A.J. Green,WR,Georgia
Patrick Peterson,DB,LSU
Julio Jones,WR,Alabama
Aldon Smith,LB,Missouri
Jake Locker,QB,Washington
Tyron Smith,T,USC
Blaine Gabbert,QB,Missouri
J.J. Watt,DE,Wisconsin
Christian Ponder,QB,Florida State
Nick Fairley,DT,Auburn
Robert Quinn,DE,North Carolina
Mike Pouncey,C,Florida
Ryan Kerrigan,LB,Purdue
Nate Solder,T,Colorado
Corey Liuget,DE,Illinois
Prince Amukamara,DB,Nebraska
Adrian Clayborn,DE,Iowa
Phillip Taylor,DT,Baylor
Anthony Castonzo,T,Boston College
Danny Watkins,G,Baylor
Cameron Jordan,DE,California
James Carpenter,T,Alabama
Jonathan Baldwin,WR,Pittsburgh
Jimmy Smith,DB,Colorado
Mark Ingram,RB,Alabama
Gabe Carimi,T,Wisconsin
Muhammad Wilkerson,DT,Temple
Cameron Heyward,DE,Ohio State
Derek Sherrod,T,Mississippi State
Sam Bradford,QB,Oklahoma
Ndamukong Suh,DT,Nebraska
Gerald McCoy,DT,Oklahoma
Trent Williams,T,Oklahoma
Eric Berry,SS,Tennessee
Russell Okung,T,Oklahoma State
Joe Haden,CB,Florida
Rolando McClain,MLB,Alabama
C.J. Spiller,RB,Clemson
Tyson Alualu,DT,California
Anthony Davis,T,Rutgers
Ryan Mathews,RB,Fresno State
Brandon Graham,DE,Michigan
Earl Thomas,FS,Texas
Jason Pierre-Paul,DE,South Florida
Derrick Morgan,DE,Georgia Tech
Mike Iupati,G,Idaho
Maurkice Pouncey,C,Florida
Sean Weatherspoon,OLB,Missouri
Kareem Jackson,CB,Alabama
Jermaine Gresham,TE,Oklahoma
Demaryius Thomas,WR,Georgia Tech
Bryan Bulaga,T,Iowa
Dez Bryant,WR,Oklahoma State
Tim Tebow,QB,Florida
Dan Williams,DT,Tennessee
Devin McCourty,CB,Rutgers
Jared Odrick,DE,Penn State
Kyle Wilson,CB,Boise State
Jahvid Best,RB,California
Jerry Hughes,DE,Texas Christian
Patrick Robinson,CB,Florida State
Matthew Stafford,QB,Georgia
Jason Smith,T,Baylor
Tyson Jackson,DE,Louisiana State
Aaron Curry,LB,Wake Forest
Mark Sanchez,QB,USC
Andre Smith,T,Alabama
Darrius Heyward-Bey,WR,Maryland
Eugene Monroe,T,Virginia
B.J. Raji,NT,Boston College
Michael Crabtree,WR,Texas Tech
Aaron Maybin,DE,Penn State
Knowshon Moreno,RB,Georgia
Brian Orakpo,DE,Texas
Malcolm Jenkins,DB,Ohio State
Brian Cushing,LB,USC
Larry English,DE,Northern Illinois
Josh Freeman,QB,Kansas State
Robert Ayers,LB,Tennessee
Jeremy Maclin,WR,Missouri
Brandon Pettigrew,TE,Oklahoma State
Alex Mack,C,California
Percy Harvin,WR,Florida
Michael Oher,T,Mississippi
Peria Jerry,DT,Mississippi
Vontae Davis,DB,Illinois
Clay Matthews,LB,USC
Donald Brown,RB,Connecticut
Eric Wood,C,Louisville
Hakeem Nicks,WR,North Carolina
Kenny Britt,WR,Rutgers
Beanie Wells,RB,Ohio State
Ziggy Hood,DT,Missouri
Jake Long,T,Michigan
Chris Long,DE,Virginia
Matt Ryan,QB,Boston College
Darren McFadden,RB,Arkansas
Glenn Dorsey,DT,Louisiana State
Vernon Gholston,LB,Ohio State
Sedrick Ellis,DT,USC
Derrick Harvey,DE,Florida
Keith Rivers,OLB,USC
Jerod Mayo,ILB,Tennessee
Leodis McKelvin,CB,Troy
Ryan Clady,T,Boise State
Jonathan Stewart,RB,Oregon
Chris Williams,OT,Vanderbilt
Branden Albert,T,Virginia
Dominique Rodgers-Cromartie,CB,Tennessee State
Gosder Cherilus,T,Boston College
Joe Flacco,QB,Delaware
Jeff Otah,T,Pittsburgh
Aqib Talib,CB,Kansas
Sam Baker,T,USC
Felix Jones,RB,Arkansas
Rashard Mendenhall,RB,Illinois
Chris Johnson,RB,East Carolina
Mike Jenkins,CB,South Florida
Duane Brown,T,Virginia Tech
Antoine Cason,CB,Arizona
Lawrence Jackson,DE,USC
Kentwan Balmer,DE,North Carolina
Dustin Keller,TE,Purdue
Kenny Phillips,FS,Miami (Fla.)
JaMarcus Russell,QB,Louisiana State
Calvin Johnson,WR,Georgia Tech
Joe Thomas,OT,Wisconsin
Gaines Adams,DE,Clemson
Levi Brown,OT,Penn State
LaRon Landry,SS,Louisiana State
Adrian Peterson,RB,Oklahoma
Jamaal Anderson,DE,Arkansas
Ted Ginn Jr.,WR,Ohio State
Amobi Okoye,DT,Louisville
Patrick Willis,ILB,Mississippi
Marshawn Lynch,RB,California
Adam Carriker,NT,Nebraska
Darrelle Revis,CB,Pittsburgh
Lawrence Timmons,LB,Florida State
Justin Harrell,DT,Tennessee
Jarvis Moss,DE,Florida
Leon Hall,CB,Michigan
Michael Griffin,FS,Texas
Aaron Ross,CB,Texas
Reggie Nelson,FS,Florida
Brady Quinn,QB,Notre Dame
Dwayne Bowe,WR,Louisiana State
Brandon Meriweather,DB,Miami (Fla.)
Jon Beason,MLB,Miami (Fla.)
Anthony Spencer,OLB,Purdue
Robert Meachem,WR,Tennessee
Joe Staley,OT,Central Michigan
Ben Grubbs,G,Auburn
Craig Davis,WR,Louisiana State
Greg Olsen,TE,Miami (Fla.)
Anthony Gonzalez,WR,Ohio State
Mario Williams,DE,North Carolina State
Reggie Bush,RB,USC
Vince Young,QB,Texas
D'Brickashaw Ferguson,T,Virginia
A.J. Hawk,OLB,Ohio State
Vernon Davis,TE,Maryland
Michael Huff,SS,Texas
Donte Whitner,SS,Ohio State
Ernie Sims,OLB,Florida State
Matt Leinart,QB,USC
Jay Cutler,QB,Vanderbilt
Haloti Ngata,DT,Oregon
Kamerion Wimbley,OLB,Florida State
Brodrick Bunkley,DT,Florida State
Tye Hill,CB,Clemson
Jason Allen,DB,Tennessee
Chad Greenway,LB,Iowa
Bobby Carpenter,LB,Ohio State
Antonio Cromartie,CB,Florida State
Tamba Hali,DE,Penn State
Laurence Maroney,RB,Minnesota
Manny Lawson,OLB,North Carolina State
Davin Joseph,G,Oklahoma
Johnathan Joseph,CB,South Carolina
Santonio Holmes,WR,Ohio State
John McCargo,DT,North Carolina State
DeAngelo Williams,RB,Memphis
Marcedes Lewis,TE,UCLA
Nick Mangold,C,Ohio State
Joseph Addai,RB,Louisiana State
Kelly Jennings,CB,Miami (Fla.)
Mathias Kiwanuka,DE,Boston College
Alex Smith,QB,Utah
Ronnie Brown,RB,Auburn
Braylon Edwards,WR,Michigan
Cedric Benson,RB,Texas
Cadillac Williams,RB,Auburn
Pacman Jones,CB,West Virginia
Troy Williamson,WR,South Carolina
Antrel Rolle,DB,Miami (Fla.)
Carlos Rogers,DB,Auburn
Mike Williams,WR,USC
DeMarcus Ware,OLB,Troy State
Shawne Merriman,OLB,Maryland
Jammal Brown,T,Oklahoma
Thomas Davis,DB,Georgia
Derrick Johnson,OLB,Texas
Travis Johnson,DT,Florida State
David Pollack,LB,Georgia
Erasmus James,DE,Wisconsin
Alex Barron,T,Florida State
Marcus Spears,DE,Louisiana State
Matt Jones,WR,Arkansas
Mark Clayton,WR,Oklahoma
Fabian Washington,CB,Nebraska
Aaron Rodgers,QB,California
Jason Campbell,QB,Auburn
Chris Spencer,C,Mississippi
Roddy White,WR,Alabama-Birmingham
Luis Castillo,DE,Northwestern
Marlin Jackson,DB,Michigan
Heath Miller,TE,Virginia
Mike Patterson,DT,USC
Logan Mankins,G,Fresno State
